Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,
230015005000003,1,316,316,77,69,80,62,0,4,1,0,20,0,1,0,2,0,0,0,0,0,0,5,1,0,1,1,0,2,0,0,0,0,0,0,9,5,6,8,7,3,5,2,4,5,8,9,10,6,16,6,5,7,8,8,13,6,9,4,2,2,7,5,5,6,5,7,9,3,2,4,1,2,4,2,1,5,7,1,3,5,4,5,4,2,2,1,2,2,0,2,1,1,2,1,3,2,3,1,0,0,2,1,1,2,3,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
230015005000004,1,363,363,85,105,91,39,3,2,4,2,17,0,2,0,9,0,3,0,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,13,4,0,3,2,2,3,9,10,3,9,8,9,5,9,6,5,7,8,4,7,10,9,7,2,5,5,8,4,11,4,8,5,9,6,5,4,5,6,5,5,6,6,14,3,2,2,3,3,4,4,3,5,2,4,1,3,4,1,3,1,1,2,2,3,3,4,4,1,2,1,2,2,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
230015005000005,1,600,600,142,149,164,67,13,11,4,0,35,0,6,0,8,1,0,0,0,0,0,15,0,1,1,2,0,1,0,3,2,2,0,3,13,7,14,14,13,9,13,12,8,16,6,12,16,13,21,7,7,25,13,12,14,10,10,13,8,7,15,9,16,10,18,8,15,7,14,5,6,6,14,12,8,11,9,4,6,6,4,7,5,2,1,3,3,2,1,1,2,4,7,2,0,2,4,2,1,0,1,3,1,2,0,0,1,1,0,2,4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
230015005000006,1,228,228,60,46,56,35,7,1,3,1,14,0,0,0,3,2,0,0,0,0,0,9,0,1,0,2,2,0,1,1,0,1,1,0,7,8,7,10,4,7,2,6,6,6,7,7,3,6,6,3,2,2,3,2,1,2,7,1,4,6,2,4,3,5,4,1,4,2,0,4,3,4,3,2,6,3,5,3,1,3,1,2,2,2,1,0,1,1,3,1,1,1,1,1,0,2,2,1,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230015005000007,1,298,298,54,92,78,38,1,2,2,2,24,1,0,0,3,0,1,0,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,1,5,4,4,3,2,4,6,7,5,4,8,8,11,6,10,10,8,8,3,1,6,1,4,4,1,4,4,6,4,1,6,4,5,6,4,4,6,5,9,9,6,4,4,3,5,4,2,3,3,2,3,1,1,0,1,3,2,1,1,2,2,1,0,1,2,5,2,0,2,5,2,0,1,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
230015005000008,1,291,291,50,86,70,40,2,1,8,3,15,0,4,0,10,1,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,1,0,3,3,4,4,5,7,5,5,6,3,4,2,7,2,7,6,6,5,1,4,5,5,2,8,1,6,4,8,4,4,5,4,3,3,5,4,3,0,6,7,3,3,2,1,4,8,5,5,2,1,2,4,5,1,3,1,3,1,3,4,5,1,6,1,1,0,2,2,1,1,2,1,3,1,2,2,0,3,0,1,1,2,1,0,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,
230015005000009,8,340,340,60,100,108,23,3,4,5,0,28,0,1,0,6,0,0,0,2,0,0,9,2,1,0,1,0,0,0,3,1,0,1,0,12,3,7,5,9,9,6,3,10,8,0,8,6,8,7,10,8,9,4,9,4,7,5,5,6,8,6,5,0,9,4,3,4,5,3,3,5,2,8,10,4,2,5,1,2,2,2,2,2,3,7,4,5,2,3,4,3,2,2,1,2,2,1,2,1,0,1,0,0,0,2,0,2,1,1,3,1,1,2,2,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
230015005000010,5,237,237,84,31,72,24,0,3,7,1,5,0,2,3,4,0,1,0,0,0,0,5,0,0,2,1,0,0,1,1,0,0,0,0,4,4,5,1,2,2,6,2,3,6,6,7,5,7,7,1,6,5,4,3,6,4,6,3,3,7,5,4,6,5,6,2,5,2,1,3,0,3,4,4,2,1,4,2,3,3,0,3,2,3,2,3,2,2,3,1,4,2,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,2,0,1,2,2,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,
230015005000011,5,91,91,7,40,32,3,0,2,0,0,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,2,2,3,2,6,2,1,1,2,3,1,2,1,1,1,2,3,3,1,2,1,2,1,1,1,1,2,0,2,1,2,1,1,1,1,0,0,4,1,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230015005000012,8,247,245,39,86,77,16,6,1,2,0,14,2,0,0,0,0,4,0,0,0,0,9,0,1,0,1,3,1,1,1,0,1,0,0,2,4,5,6,4,5,5,4,2,5,7,3,6,4,5,7,9,7,5,3,6,7,4,2,4,4,5,3,7,1,4,6,1,5,4,2,0,7,1,1,5,3,4,2,0,2,2,1,4,0,1,4,0,2,2,2,2,0,1,4,0,2,2,0,1,2,1,3,0,0,2,2,2,0,1,0,0,2,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
