"","Cod_setor","age_sex_group","population"
"447","230440005060796","F_15_24",93
"448","230440005060796","F_25_44",135
"449","230440005060796","F_45_64",94
"450","230440005060796","F_64more",25
"451","230440005060797","M_14less",96
"452","230440005060797","M_15_24",92
"453","230440005060797","M_25_44",137
"454","230440005060797","M_45_64",69
"455","230440005060797","M_64more",26
"456","230440005060797","F_14less",100
"457","230440005060797","F_15_24",91
"458","230440005060797","F_25_44",172
"459","230440005060797","F_45_64",104
"460","230440005060797","F_64more",31
"461","230440005060798","M_14less",121
"462","230440005060798","M_15_24",91
"463","230440005060798","M_25_44",168
"464","230440005060798","M_45_64",68
"465","230440005060798","M_64more",17
"466","230440005060798","F_14less",106
"467","230440005060798","F_15_24",105
"468","230440005060798","F_25_44",161
"469","230440005060798","F_45_64",96
"470","230440005060798","F_64more",46
"471","230440005060799","M_14less",93
"472","230440005060799","M_15_24",64
"473","230440005060799","M_25_44",98
"474","230440005060799","M_45_64",52
"475","230440005060799","M_64more",15
"476","230440005060799","F_14less",74
"477","230440005060799","F_15_24",71
"478","230440005060799","F_25_44",109
"479","230440005060799","F_45_64",68
"480","230440005060799","F_64more",23
"481","230440005060800","M_14less",74
"482","230440005060800","M_15_24",58
"483","230440005060800","M_25_44",122
"484","230440005060800","M_45_64",55
"485","230440005060800","M_64more",24
"486","230440005060800","F_14less",80
"487","230440005060800","F_15_24",49
"488","230440005060800","F_25_44",134
"489","230440005060800","F_45_64",83
"490","230440005060800","F_64more",34
"491","230440005060801","M_14less",146
"492","230440005060801","M_15_24",109
"493","230440005060801","M_25_44",197
"494","230440005060801","M_45_64",94
"495","230440005060801","M_64more",34
"496","230440005060801","F_14less",143
"497","230440005060801","F_15_24",115
"498","230440005060801","F_25_44",220
"499","230440005060801","F_45_64",111
"500","230440005060801","F_64more",43
"501","230440005060802","M_14less",103
"502","230440005060802","M_15_24",74
"503","230440005060802","M_25_44",118
"504","230440005060802","M_45_64",63
"505","230440005060802","M_64more",19
"506","230440005060802","F_14less",119
"507","230440005060802","F_15_24",98
"508","230440005060802","F_25_44",174
"509","230440005060802","F_45_64",88
"510","230440005060802","F_64more",22
"511","230440005060803","M_14less",104
"512","230440005060803","M_15_24",96
"513","230440005060803","M_25_44",133
"514","230440005060803","M_45_64",58
"515","230440005060803","M_64more",17
"516","230440005060803","F_14less",102
"517","230440005060803","F_15_24",110
"518","230440005060803","F_25_44",153
"519","230440005060803","F_45_64",70
"520","230440005060803","F_64more",30
"521","230440005060804","M_14less",119
"522","230440005060804","M_15_24",72
"523","230440005060804","M_25_44",126
