ID,CD_GEOCODI,TIPO,CD_GEOCODB,NM_BAIRRO,CD_GEOCODS,NM_SUBDIST,CD_GEOCODD,NM_DISTRIT,CD_GEOCODM,NM_MUNICIP,NM_MICRO,NM_MESO,TIPO_NEW,CD_GEOCODB_NEW,NM_BAIRRO_NEW,CD_GEOCODS_NEW,NM_SUBDIST_NEW,CD_GEOCODD_NEW,NM_DISTRIT_NEW,CD_GEOCODM_NEW,NM_MUNICIP_NEW,NM_MICRO_NEW,NM_MESO_NEW
14351,230440065110499,URBAN,230440065061,Jangurussu,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065118,Conjunto Palmeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13673,230440060060076,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13674,230440060060077,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13675,230440060060078,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13676,230440060060079,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13677,230440060060080,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13678,230440060060081,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13679,230440060060082,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13680,230440060060083,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13681,230440060060084,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
